antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'led zeppelin'}),frozenset({'pink floyd'}),0.0792,0.10493333333333334,0.032,0.40404040404040403,3.8504485772592507,0.02368928,1.5018915254237286
frozenset({'bob dylan'}),frozenset({'the beatles'}),0.06933333333333333,0.17786666666666667,0.034466666666666666,0.4971153846153846,2.794876600161458,0.022134577777777775,1.6348349267049078
frozenset({'sigur rós'}),frozenset({'radiohead'}),0.0694,0.18026666666666666,0.0342,0.49279538904899134,2.73370223215047,0.021689493333333334,1.6161787878787879
frozenset({'the rolling stones'}),frozenset({'the beatles'}),0.06293333333333333,0.17786666666666667,0.030466666666666666,0.48411016949152547,2.721758823977842,0.019272924444444443,1.5936219028062975
frozenset({'the killers'}),frozenset({'coldplay'}),0.0982,0.15853333333333333,0.04106666666666667,0.418194161575017,2.6378942067389635,0.025498693333333336,1.4463015169194866
frozenset({'david bowie'}),frozenset({'the beatles'}),0.07366666666666667,0.17786666666666667,0.031733333333333336,0.4307692307692308,2.421865990081882,0.01863048888888889,1.4442882882882884
frozenset({'led zeppelin'}),frozenset({'the beatles'}),0.0792,0.17786666666666667,0.033466666666666665,0.4225589225589225,2.3757060863507635,0.019379626666666663,1.4237527696793004
